Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
SIMPLEXINF.NS,1.0,2.34,1.0,1.4,0.93,0.92,0.92,0.9,141.89,41.86,0.4864,0.243,0.12,True,True,True,True,True,False
IFBIND.NS,0.89,1.04,0.89,0.54,0.77,0.76,0.76,0.82,141.96,30.37,0.3239,0.1376,0.11,True,True,True,True,False,False
HERITGFOOD.NS,0.77,1.17,0.77,0.8,0.8,0.82,0.85,0.87,142.16,34.11,0.3977,0.1676,0.12,True,True,True,True,False,False
KAPSTON.NS,0.92,1.63,0.92,1.06,0.88,0.85,0.89,0.88,142.19,32.27,0.2931,0.2079,0.09,True,True,True,True,False,False
CDSL.NS,0.84,1.44,0.84,0.74,0.85,0.76,0.83,0.84,142.23,29.83,0.222,0.191,0.07,True,True,True,True,False,False
VOLTAS.NS,1.0,1.2,1.0,0.85,0.81,0.71,0.86,0.83,142.28,35.48,0.4026,0.115,0.11,True,True,True,True,True,False
VARDMNPOLY.NS,0.89,0.84,0.89,0.79,0.7,0.62,0.84,0.77,142.28,34.18,0.3338,0.2872,0.1,False,True,True,True,True,False
ITDCEM.NS,0.87,1.38,0.87,0.79,0.85,0.88,0.84,0.88,142.31,27.25,0.3043,0.2765,0.11,True,True,True,True,False,False
KELLTONTEC.NS,0.81,0.81,0.81,0.27,0.69,0.67,0.59,0.79,142.49,27.5,0.2909,0.162,0.11,False,True,True,True,False,False
ORCHPHARMA.NS,0.95,1.64,0.95,0.49,0.88,0.84,0.73,0.74,142.51,37.33,0.4552,0.252,0.12,True,False,True,False,True,False
BLKASHYAP.NS,0.88,1.01,0.88,0.54,0.76,0.81,0.76,0.81,142.55,27.77,0.2526,0.2631,0.09,True,True,True,True,False,False
ALICON.NS,0.95,0.71,0.95,0.62,0.64,0.55,0.8,0.76,142.76,31.44,0.3018,0.1473,0.1,False,True,True,True,True,False
JCHAC.NS,0.97,0.75,0.97,0.87,0.66,0.67,0.87,0.83,142.82,36.38,0.3487,0.0026,0.1,False,False,True,False,True,False
GUJAPOLLO.NS,0.91,0.67,0.91,0.43,0.62,0.37,0.7,0.56,142.97,30.73,0.2888,0.0845,0.09,False,True,True,True,True,False
RBL.NS,0.93,0.6,0.93,0.63,0.59,0.35,0.8,0.7,143.05,30.72,0.2594,0.0963,0.08,False,True,True,True,True,False
VASWANI.NS,0.8,1.05,0.81,-0.31,0.77,0.7,0.06,0.66,143.15,27.13,0.3119,0.1988,0.11,False,True,True,True,False,False
AJANTPHARM.NS,0.98,0.92,0.98,0.64,0.73,0.61,0.8,0.77,143.16,33.6,0.316,0.152,0.09,True,True,True,True,True,False
OFSS.NS,0.95,1.75,0.95,0.79,0.89,0.86,0.85,0.85,143.18,35.11,0.4439,0.1837,0.13,True,True,True,True,False,False
EMAMILTD.NS,0.98,0.6,0.98,0.71,0.59,0.64,0.82,0.82,143.33,30.82,0.272,0.0988,0.09,False,True,True,True,True,False
MRO-TEK.NS,0.96,0.88,0.96,0.55,0.72,0.5,0.77,0.61,143.43,34.93,0.3607,0.1562,0.1,False,True,True,True,True,False
STEL.NS,1.0,1.51,1.0,0.9,0.87,0.86,0.87,0.86,143.69,40.27,0.4322,0.2792,0.11,True,True,True,True,True,False
TRIL.NS,0.84,4.73,0.84,2.87,0.96,0.95,0.95,0.95,143.73,38.43,0.5149,0.5025,0.13,True,True,True,True,False,False
